"C:\Program Files\Java\jdk1.8.0_241\bin\java.exe" "-javaagent:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2019.3.2\lib\idea_rt.jar=5173:C:\Program Files\JetBrains\IntelliJ IDEA Community Edition 2019.3.2\bin" -Dfile.encoding=UTF-8 -classpath "C:\Program Files\Java\jdk1.8.0_241\jre\lib\charsets.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\deploy.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\access-bridge-64.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\cldrdata.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\dnsns.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\jaccess.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\jfxrt.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\localedata.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\nashorn.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\sunec.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\sunjce_provider.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\sunmscapi.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\sunpkcs11.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\ext\zipfs.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\javaws.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\jce.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\jfr.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\jfxswt.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\jsse.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\management-agent.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\plugin.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\resources.jar;C:\Program Files\Java\jdk1.8.0_241\jre\lib\rt.jar;D:\Java\hunter\out\production\hunter" ru.geekbrains.lesson_03.Main

x: 8, y: -15, a: -61,927513
x: 4, y: -7, a: -60,255119
x: 3, y: -5, a: -59,036243
x: 9, y: -12, a: -53,130102
x: 19, y: -18, a: -43,451842
x: 8, y: -6, a: -36,869898
x: 20, y: -13, a: -33,023868
x: 18, y: -10, a: -29,054604
x: 7, y: -2, a: -15,945396
x: 2, y: 0, a: 0,000000
x: 14, y: 0, a: 0,000000
x: 17, y: 0, a: 0,000000
x: 19, y: 7, a: 20,224859
x: 20, y: 8, a: 21,801409
x: 13, y: 7, a: 28,300756
x: 12, y: 7, a: 30,256437
x: 11, y: 13, a: 49,763642
x: 7, y: 12, a: 59,743563
x: 7, y: 16, a: 66,370622
x: 1, y: 7, a: 81,869898
x: 1, y: 13, a: 85,601295
x: 0, y: 16, a: 90,000000
x: -1, y: 5, a: 101,309932
x: -6, y: 19, a: 107,525568
x: -3, y: 6, a: 116,565051
x: -7, y: 9, a: 127,874984
x: -8, y: 8, a: 135,000000
x: -18, y: 16, a: 138,366461
x: -7, y: 6, a: 139,398705
x: -20, y: 11, a: 151,189206
x: -11, y: 6, a: 151,389540
x: -13, y: 5, a: 158,962489
x: -20, y: 5, a: 165,963757
x: -19, y: -3, a: 188,972627
x: -18, y: -3, a: 189,462322
x: -15, y: -3, a: 191,309932
x: -20, y: -9, a: 204,227745
x: -20, y: -10, a: 206,565051
x: -6, y: -5, a: 219,805571
x: -9, y: -9, a: 225,000000
x: -11, y: -11, a: 225,000000
x: -1, y: -1, a: 225,000000
x: -16, y: -20, a: 231,340192
x: -13, y: -19, a: 235,619655
x: -4, y: -6, a: 236,309932
x: -8, y: -12, a: 236,309932
x: -5, y: -9, a: 240,945396
x: -3, y: -15, a: 258,690068
x: -3, y: -18, a: 260,537678
x: -2, y: -17, a: 263,290163

Макимально возможное количество фрагов за один выстрел: 3
Список целей:
x: 2, y: 0, a: 0,000000
x: 14, y: 0, a: 0,000000
x: 17, y: 0, a: 0,000000

x: -9, y: -9, a: 225,000000
x: -11, y: -11, a: 225,000000
x: -1, y: -1, a: 225,000000


Process finished with exit code 0
